,song_artist
665,My Eyes Adored You - Frankie Valli
666,Who Can It Be Now? - Men at Work
667,I Still Haven't Found What I'm Looking for - U2
668,Oh Pretty Woman - Roy Orbison
669,Go Away Little Girl - Donny Osmond
670,Brandy (You're a Fine Girl) - Looking Glass
671,Angel of Mine - Monica
672,You're Beautiful - James Blunt
673,(You're) Having My Baby - Paul Anka
674,Good Vibrations - Marky Mark and the Funky Bunch Feat. Loleatta Hollow
675,Michael - The Highwaymen
676,Stand Up - Ludacris
677,All I Wanna Do Is Make Love to You - Heart
678,Celebration - Kool & the Gang
679,Beyonce Featuring Slim Thug - Check on It
680,Photograph - Nickelback
681,Return to Sender - Elvis Presley With the Jordanaries
682,If I Can't Have You - Yvonne Elliman
683,Love Will Never Do (Without You) - Janet Jackson
684,"Right Here, Right Now-Jesus Jones"
685,Telstar - The Tornados
686,Theme From Greatest American Hero (Believe It or Not) - Joey Scarbury
687,The Flame - Cheap Trick
688,I Get Around - The Beach Boys
689,Super Bass - Nicki Minaj
690,Cee Lo Green- Fuck You
691,Don't It Make My Brown Eyes Blue - Crystal Gayle
692,There'll Be Sad Songs (To Make You Cry) - Billy Ocean
693,Duke of Earl - Gene Chandler
694,U Remind Me - Usher
695,Hot Chocolate - You Sexy Thing
696,Let's Hear It for the Boy - Deniece Williams
697,Indian Reservation - The Raiders
698,"Billy, Don't Be a Hero - Bo Donaldson & the Heywoods"
699,Dream Weaver - Gary Wright
700,Stronger - Kanye West
701,Baby One More Time- Britney Spears
702,Girl I'm Gonna Miss You - Milli Vanilli
703,Personality - Lloyd Price
704,Nothing From Nothing - Billy Preston
705,You Should Be Dancing- Bee Gees
706,Panda - Desiigner
707,Laughter in the Rain - Neil Sedaka
708,So What - Pink
709,Saving All My Love for You - Whitney Houston
710,Little Jeannie - Elton John
711,Kiss on My List - Daryl Hall & John Oates
712,Kiss Kiss - Chris Brown Ft. T-Pain
713,Girlfriend - Avril Lavigne
714,You're the One That I Want - John Travolta and Olivianewton-John
715,Torn Between Two Lovers - Mary Macgregor
716,Missing You - John Waite
717,A View to a Kill - Duran Duran
718,Break Your Heart - Taio Cruz
719,Work It - Missy Elliott
720,The Lion Sleeps Tonight - The Tokens
721,Go Away Little Girl - Steve Lawrence
722,Slow Hand - The Pointer Sisters
723,Phil Collins - A Groovy Kind of Love
724,Wedding Bell Blues - The 5th Dimension
725,Do Wah Diddy Diddy - Manfred Mann
726,TSOP (The Sound of Philadelphia) — MFSB and the Three Degrees
727,In My Feelings - Drake
728,Wrecking Ball - Miley Cyrus
729,Glory of Love - Peter Cetera
730,Baby Don't Get Hooked on Me - Mac Davis
731,Muskrat Love - Captain & Tennille
732,Keep on Loving You - REO Speedwagon
